Saved changes,Selected all topics,Logged in through login-screen,Viewed content,Viewed feed/topic,Redirecting to media,Viewed notification,Viewed feedItem,Navigating to feed overview,Viewed feed/findOne,Viewed content/all,Viewed space,Logged in,Viewed /auth/login Page,UTM events,Viewed link,Navigating to content overview,Viewed notifications,Opened intercom,Created content,Opened drop down menu for feed item,Viewed feed/all,Viewed /auth/register Page,Viewed content/topic,Selected topic,Created comment,Uploaded file,Downloaded file,Logged out
,,,,0,,,,,,4,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,3,,0,,,,,,,,,0,,58,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,-1,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,1,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,5,,,,,
,,,,0,,,,,,1,,0,,,,,,,,,0,,50,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,31,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,39,,,,,
,,,,0,,,,,,1,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,1,,0,,,,,,,,,0,,12,,,,,
,,,,0,,,,,,13,,0,,,,,,,,,0,,22,,,,,
,,,,0,,,,,,73,,0,,,,,,,,,0,,17,,,,,
,,,,0,,,,,,10,,0,,,,,,,,,0,,7,,,,,
,,,,0,,,,,,16,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,1,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,3,,0,,,,,,,,,0,,68,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,9,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,332,,,,,
,,,,0,,,,,,7,,-1,,,,,,,,,0,,6,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,10,,,,,
,,,,0,,,,,,16,,-1,,,,,,,,,0,,22,,,,,
,,,,0,,,,,,3,,0,,,,,,,,,0,,9,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,8,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,4,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,7,,0,,,,,,,,,0,,9,,,,,
,,,,0,,,,,,24,,0,,,,,,,,,0,,3,,,,,
,,,,0,,,,,,149,,0,,,,,,,,,0,,2,,,,,
,,,,0,,,,,,22,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,34,,,,,,,,,,,0,,19,,,,,
,,,,0,,,,,,77,,,,,,,,,,,0,,9,,,,,
,,,,0,,,,,,160,,,,,,,,,,,0,,585,,,,,
,,,,0,,,,,,24,,,,,,,,,,,0,,21,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,562,,,,,,,,,,,0,,424,,,,,
,,,,0,,,,,,14,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,42,,,,,,,,,,,0,,892,,,,,
,,,,0,,,,,,9,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,4,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,9,,,,,,,,,,,0,,31,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,14,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,32,,,,,,,,,,,0,,5,,,,,
,,,,0,,,,,,34,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,28,,,,,,,,,,,0,,7,,,,,
,,,,0,,,,,,9,,,,,,,,,,,0,,15,,,,,
,,,,0,,,,,,1,,,,,,,,,,,0,,24,,,,,
,,,,0,,,,,,328,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,307,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,253,,,,,,,,,,,0,,1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,1107,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,20,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,102,,,,,
,,,,0,,,,,,60,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,53,,,,,,,,,,,0,,30,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,25,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,648,,,,,
,,,,0,,,,,,5,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,34,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,7,,,,,,,,,,,0,,10,,,,,
,,,,0,,,,,,3,,,,,,,,,,,0,,13,,,,,
,,,,0,,,,,,74,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,14,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,7,,,,,,,,,,,0,,1059,,,,,
